m,tgsvd(new),tsvd(current)
100,0.0072647847,0.0073066097
200,0.0192190451,0.0708952526
300,0.038693124,0.2263789602
400,0.0659299381,0.5408964075
500,0.101310478,0.9292176433
600,0.0299349523,0.3225318587
700,0.0405881333,0.5144310637
800,0.0546205856,1.027967955
900,0.071008413,1.291941342
1000,0.08882966,2.578850279
1100,0.1390855022,3.950177054
1200,0.1382831058,5.442018706
1300,0.1726975949,7.566734474
1400,0.1879677561,9.775973664
1500,0.231003987,12.2935856
