m,tgsvd(new),tsvd(current)
60,0.0054845173,0.0116590949
120,0.0275163386,0.1183771418
180,0.0551977171,0.3464926484
240,0.101761058,0.8586728518
300,0.1656118165,1.488693251
360,0.0508992145,0.5564042038
420,0.0722882298,0.83804934
480,0.1004915609,2.097800245
540,0.1393731969,2.38275424
600,0.1759805695,4.214917869
660,0.2119339,6.20929148
720,0.285613466,9.462319428
780,0.3138047912,12.40694278
840,0.3822178628,16.8558675
900,0.4488438282,21.79518187
