m,tgsvd(new),tsvd(current)
60,0.0058894731,0.0126245533
120,0.0265043372,0.1115394979
180,0.0508973303,0.3530332342
240,0.0899128145,0.8922601476
300,0.1449780634,1.555129149
360,0.0435197447,0.6442666374
420,0.0611669737,1.059776617
480,0.0841043159,2.266456253
540,0.1159539046,3.387174373
600,0.1421249914,5.223224652
660,0.1785809558,8.098909232
720,0.2301401671,11.94686973
780,0.3058860385,17.09578632
840,0.3240934682,20.72559493
900,0.4220459351,28.52334256
